team,elo_after,season,date,elo_before
FC Dallas,1479.2426527850491,1998,1998-08-28,1463.9117854451415
Houston Dynamo,1432.537148179845,1998,1998-08-28,1456.3480013627718
Los Angeles Galaxy,1613.5787553280825,1998,1998-08-28,1647.2513509061314
Mutiny,1417.6314558273266,1998,1998-08-28,1400.142470462464
Sporting Kansas City,1467.1187544235243,1998,1998-08-28,1479.9586726301673
New York Red Bulls,1496.678707289872,1998,1998-08-28,1512.0095746297795
Colorado Rapids,1463.838194916203,1998,1998-08-28,1440.0273417332762
Columbus Crew,1538.2171714636816,1998,1998-08-28,1504.5445758856326
DC United,1654.2998622144535,1998,1998-08-28,1671.788847579316
Chicago Fire,1568.4406390045256,1998,1998-08-28,1555.6007207978826
Miami,1473.2831469979749,1998,1998-08-29,1466.582002239436
New England Revolution,1395.133511569462,1998,1998-08-29,1401.8346563280008
Chicago Fire,1574.3297121298274,1998,1998-09-01,1568.4406390045256
Colorado Rapids,1472.581323746718,1998,1998-09-01,1463.838194916203
Los Angeles Galaxy,1622.2325433100607,1998,1998-09-01,1613.5787553280825
New York Red Bulls,1469.2695037066965,1998,1998-09-01,1496.678707289872
Miami,1467.394073872673,1998,1998-09-01,1473.2831469979749
Sporting Kansas City,1458.3756255930093,1998,1998-09-01,1467.1187544235243
FC Dallas,1470.588864803071,1998,1998-09-01,1479.2426527850491
New England Revolution,1422.5427151526374,1998,1998-09-01,1395.133511569462
Mutiny,1426.7497935749304,1998,1998-09-02,1417.6314558273266
Houston Dynamo,1423.4188104322411,1998,1998-09-02,1432.537148179845
Miami,1452.211794020489,1998,1998-09-04,1467.394073872673
Sporting Kansas City,1472.5503568490167,1998,1998-09-04,1458.3756255930093
Los Angeles Galaxy,1637.4148231622448,1998,1998-09-04,1622.2325433100607
Houston Dynamo,1409.2440791762338,1998,1998-09-04,1423.4188104322411
Columbus Crew,1544.8021552914488,1998,1998-09-05,1538.2171714636816
New York Red Bulls,1462.6845198789292,1998,1998-09-05,1469.2695037066965
Columbus Crew,1550.7571472231286,1998,1998-09-08,1544.8021552914488
Miami,1446.256802088809,1998,1998-09-08,1452.211794020489
FC Dallas,1482.7180640998156,1998,1998-09-09,1470.588864803071
Chicago Fire,1562.2005128330827,1998,1998-09-09,1574.3297121298274
New England Revolution,1442.0012483132086,1998,1998-09-11,1422.5427151526374
Columbus Crew,1531.2986140625574,1998,1998-09-11,1550.7571472231286
Chicago Fire,1571.248363617304,1998,1998-09-12,1562.2005128330827
FC Dallas,1456.4098922973003,1998,1998-09-12,1482.7180640998156
Miami,1461.8726654195705,1998,1998-09-12,1446.256802088809
Mutiny,1436.5617996657031,1998,1998-09-12,1426.7497935749304
Colorado Rapids,1463.5334729624967,1998,1998-09-12,1472.581323746718
Houston Dynamo,1435.552250978749,1998,1998-09-12,1409.2440791762338
DC United,1638.683998883692,1998,1998-09-12,1654.2998622144535
