team,win_prob,win,season,date,upset_win,upset_loss
Real Salt Lake,0.8244262306542202,0.5,2011,2011-07-04,NA,NA
Seattle Sounders,0.3040963812386953,0.5,2011,2011-07-04,NA,NA
New England Revolution,0.17557376934577984,0.5,2011,2011-07-04,NA,NA
Chivas USA,0.5372623735517363,1,2011,2011-07-06,NA,0
Vancouver Whitecaps,0.5332717822755927,0,2011,2011-07-06,NA,1
Sporting Kansas City,0.684098617609799,0.5,2011,2011-07-06,NA,NA
New York Red Bulls,0.7864308541893098,1,2011,2011-07-06,NA,0
San Jose Earthquakes,0.46273762644826366,0,2011,2011-07-06,0,NA
Columbus Crew,0.4667282177244073,1,2011,2011-07-06,1,NA
Colorado Rapids,0.31590138239020105,0.5,2011,2011-07-06,NA,NA
Toronto FC,0.2135691458106902,0,2011,2011-07-06,0,NA
Los Angeles Galaxy,0.7751255076386914,1,2011,2011-07-09,NA,0
San Jose Earthquakes,0.6275774283430485,0.5,2011,2011-07-09,NA,NA
Colorado Rapids,0.7325301058501961,1,2011,2011-07-09,NA,0
Real Salt Lake,0.6259179463311356,1,2011,2011-07-09,NA,0
Houston Dynamo,0.716162952968652,1,2011,2011-07-09,NA,0
New York Red Bulls,0.7727772420038712,0,2011,2011-07-09,NA,1
Sporting Kansas City,0.7298689252489887,0.5,2011,2011-07-09,NA,NA
Chicago Fire,0.22487449236130863,0,2011,2011-07-09,0,NA
Philadelphia Union,0.3724225716569515,0.5,2011,2011-07-09,NA,NA
Vancouver Whitecaps,0.26746989414980393,0,2011,2011-07-09,0,NA
FC Dallas,0.3740820536688644,0,2011,2011-07-09,0,NA
Toronto FC,0.28383704703134804,0,2011,2011-07-09,0,NA
DC United,0.2272227579961288,1,2011,2011-07-09,1,NA
Chivas USA,0.2701310747510113,0.5,2011,2011-07-09,NA,NA
Portland Timbers,0.4850838982473528,0,2011,2011-07-10,0,NA
Seattle Sounders,0.5149161017526471,1,2011,2011-07-10,NA,0
Chivas USA,0.5458765206664045,0.5,2011,2011-07-16,NA,NA
FC Dallas,0.7777004887852522,0.5,2011,2011-07-16,NA,NA
Chicago Fire,0.6863645767816584,0,2011,2011-07-16,NA,1
Houston Dynamo,0.5700356660202718,0.5,2011,2011-07-16,NA,NA
Columbus Crew,0.6875637233713146,0.5,2011,2011-07-16,NA,NA
Seattle Sounders,0.72148493119614,1,2011,2011-07-16,NA,0
New York Red Bulls,0.45412347933359554,0.5,2011,2011-07-16,NA,NA
DC United,0.22229951121474778,0.5,2011,2011-07-16,NA,NA
Portland Timbers,0.3136354232183416,1,2011,2011-07-16,1,NA
Sporting Kansas City,0.4299643339797282,0.5,2011,2011-07-16,NA,NA
San Jose Earthquakes,0.31243627662868545,0.5,2011,2011-07-16,NA,NA
Colorado Rapids,0.27851506880386,0,2011,2011-07-16,0,NA
New England Revolution,0.5175237053755026,0,2011,2011-07-17,NA,1
Philadelphia Union,0.48247629462449737,1,2011,2011-07-17,1,NA
Los Angeles Galaxy,0.7347750087418251,1,2011,2011-07-20,NA,0
San Jose Earthquakes,0.7340198528461678,0.5,2011,2011-07-20,NA,NA
Colorado Rapids,0.6026588508783959,1,2011,2011-07-20,NA,0
Toronto FC,0.3951421653577446,0,2011,2011-07-20,0,NA
DC United,0.7165038017764236,0,2011,2011-07-20,NA,1
Columbus Crew,0.2652249912581749,0,2011,2011-07-20,0,NA
Vancouver Whitecaps,0.2659801471538322,0.5,2011,2011-07-20,NA,NA
New York Red Bulls,0.3973411491216041,0,2011,2011-07-20,0,NA
FC Dallas,0.6048578346422554,1,2011,2011-07-20,NA,0
New England Revolution,0.2834961982235764,1,2011,2011-07-20,1,NA
Chivas USA,0.6266419228712982,1,2011,2011-07-23,NA,0
Real Salt Lake,0.7548155909208432,1,2011,2011-07-23,NA,0
Colorado Rapids,0.7627890169422751,0.5,2011,2011-07-23,NA,NA
Sporting Kansas City,0.8023527290841067,1,2011,2011-07-23,NA,0
Columbus Crew,0.7175502935727177,1,2011,2011-07-23,NA,0
New York Red Bulls,0.5567324712872997,0.5,2011,2011-07-23,NA,NA
Houston Dynamo,0.37335807712870184,0,2011,2011-07-23,0,NA
San Jose Earthquakes,0.24518440907915684,0,2011,2011-07-23,0,NA
New England Revolution,0.23721098305772492,0.5,2011,2011-07-23,NA,NA
Toronto FC,0.1976472709158933,0,2011,2011-07-23,0,NA
Portland Timbers,0.2824497064272823,0,2011,2011-07-23,0,NA
FC Dallas,0.44326752871270025,0.5,2011,2011-07-23,NA,NA
Philadelphia Union,0.6629225979820053,0,2011,2011-07-29,NA,1
Colorado Rapids,0.33707740201799474,1,2011,2011-07-29,1,NA
Portland Timbers,0.7344919655156156,0.5,2011,2011-07-30,NA,NA
San Jose Earthquakes,0.6888506157948833,0,2011,2011-07-30,NA,1
Real Salt Lake,0.7294794176436922,0,2011,2011-07-30,NA,1
Houston Dynamo,0.4612850838999246,1,2011,2011-07-30,1,NA
Sporting Kansas City,0.768919590635899,0.5,2011,2011-07-30,NA,NA
Vancouver Whitecaps,0.38396449292049856,0,2011,2011-07-30,0,NA
Toronto FC,0.2655080344843844,0.5,2011,2011-07-30,NA,NA
DC United,0.31114938420511673,1,2011,2011-07-30,1,NA
Columbus Crew,0.2705205823563078,1,2011,2011-07-30,1,NA
Seattle Sounders,0.5387149161000754,0,2011,2011-07-30,NA,1
New England Revolution,0.231080409364101,0.5,2011,2011-07-30,NA,NA
Los Angeles Galaxy,0.6160355070795014,1,2011,2011-07-30,NA,0
FC Dallas,0.7593619870384078,1,2011,2011-07-31,NA,0
Chivas USA,0.24063801296159215,0,2011,2011-07-31,0,NA
Portland Timbers,0.3849584188066142,1,2011,2011-08-03,1,NA
Chicago Fire,0.5658131440569014,0.5,2011,2011-08-03,NA,NA
Sporting Kansas City,0.5754291575111501,1,2011,2011-08-03,NA,0
Los Angeles Galaxy,0.6150415811933858,0,2011,2011-08-03,NA,1
Philadelphia Union,0.4341868559430986,0.5,2011,2011-08-03,NA,NA
Real Salt Lake,0.4245708424888499,0,2011,2011-08-03,0,NA
Colorado Rapids,0.6082514865387156,1,2011,2011-08-05,NA,0
Columbus Crew,0.39174851346128436,0,2011,2011-08-05,0,NA
Los Angeles Galaxy,0.6655265193432583,1,2011,2011-08-06,NA,0
San Jose Earthquakes,0.6205363275189106,0.5,2011,2011-08-06,NA,NA
Real Salt Lake,0.6970927201550189,1,2011,2011-08-06,NA,0
Sporting Kansas City,0.6110026704944467,0,2011,2011-08-06,NA,1
Philadelphia Union,0.6941598383723439,0.5,2011,2011-08-06,NA,NA
DC United,0.7472538981526975,0.5,2011,2011-08-06,NA,NA
New England Revolution,0.5844265267145351,0,2011,2011-08-06,NA,1
FC Dallas,0.33447348065674165,0,2011,2011-08-06,0,NA
Portland Timbers,0.37946367248108936,0.5,2011,2011-08-06,NA,NA
New York Red Bulls,0.3029072798449811,0,2011,2011-08-06,0,NA
Seattle Sounders,0.3889973295055533,1,2011,2011-08-06,1,NA
Houston Dynamo,0.30584016162765615,0.5,2011,2011-08-06,NA,NA
Toronto FC,0.2527461018473025,0.5,2011,2011-08-06,NA,NA
Chivas USA,0.4155734732854649,1,2011,2011-08-06,1,NA
Vancouver Whitecaps,0.5725624830251514,1,2011,2011-08-07,NA,0
Chicago Fire,0.42743751697484855,0,2011,2011-08-07,0,NA
San Jose Earthquakes,0.5150101592734165,0,2011,2011-08-13,NA,1
Philadelphia Union,0.5607629479370213,0.5,2011,2011-08-13,NA,NA
Columbus Crew,0.7833149785420355,1,2011,2011-08-13,NA,0
DC United,0.6872536480550703,1,2011,2011-08-13,NA,0
New York Red Bulls,0.7103848746926117,0.5,2011,2011-08-13,NA,NA
Toronto FC,0.38110991173081604,1,2011,2011-08-13,1,NA
Seattle Sounders,0.7519453927321277,0.5,2011,2011-08-13,NA,NA
Colorado Rapids,0.48498984072658347,1,2011,2011-08-13,1,NA
FC Dallas,0.4392370520629787,0.5,2011,2011-08-13,NA,NA
New England Revolution,0.21668502145796453,0,2011,2011-08-13,0,NA
Vancouver Whitecaps,0.3127463519449297,0,2011,2011-08-13,0,NA
Chicago Fire,0.2896151253073883,0.5,2011,2011-08-13,NA,NA
Real Salt Lake,0.6188900882691839,0,2011,2011-08-13,NA,1
Chivas USA,0.24805460726787232,0.5,2011,2011-08-13,NA,NA
Houston Dynamo,0.6461994126137205,1,2011,2011-08-14,NA,0
Portland Timbers,0.3538005873862795,0,2011,2011-08-14,0,NA
Sporting Kansas City,0.7157419439260493,1,2011,2011-08-17,NA,0
New England Revolution,0.5293321283461091,0.5,2011,2011-08-17,NA,NA
Portland Timbers,0.2842580560739507,0,2011,2011-08-17,0,NA
Houston Dynamo,0.4706678716538909,0.5,2011,2011-08-17,NA,NA
Chicago Fire,0.6030543041220038,0.5,2011,2011-08-18,NA,NA
DC United,0.3969456958779962,0.5,2011,2011-08-18,NA,NA
Los Angeles Galaxy,0.8268388197733029,1,2011,2011-08-20,NA,0
Portland Timbers,0.6960951164213341,1,2011,2011-08-20,NA,0
Colorado Rapids,0.7215100690788406,0.5,2011,2011-08-20,NA,NA
FC Dallas,0.6400206894517598,0,2011,2011-08-20,NA,1
Houston Dynamo,0.5470134808103346,1,2011,2011-08-20,NA,0
Columbus Crew,0.6864650978809066,1,2011,2011-08-20,NA,0
New England Revolution,0.5175428979990448,0.5,2011,2011-08-20,NA,NA
San Jose Earthquakes,0.17316118022669713,0,2011,2011-08-20,0,NA
Vancouver Whitecaps,0.30390488357866585,0,2011,2011-08-20,0,NA
Chivas USA,0.27848993092115937,0.5,2011,2011-08-20,NA,NA
Seattle Sounders,0.35997931054824017,1,2011,2011-08-20,1,NA
Real Salt Lake,0.45298651918966537,0,2011,2011-08-20,0,NA
Philadelphia Union,0.3135349021190934,0,2011,2011-08-20,0,NA
New York Red Bulls,0.48245710200095515,0.5,2011,2011-08-20,NA,NA
Sporting Kansas City,0.7122726185298227,1,2011,2011-08-21,NA,0
Chicago Fire,0.6983674970805029,1,2011,2011-08-21,NA,0
DC United,0.2877273814701773,0,2011,2011-08-21,0,NA
Toronto FC,0.30163250291949706,0,2011,2011-08-21,0,NA
Portland Timbers,0.5953069609282994,1,2011,2011-08-24,NA,0
Chivas USA,0.4046930390717006,0,2011,2011-08-24,0,NA
Chivas USA,0.5595953462240651,0,2011,2011-08-27,NA,1
Chicago Fire,0.5100609712936247,1,2011,2011-08-27,NA,0
Sporting Kansas City,0.6235827246507082,0,2011,2011-08-27,NA,1
Toronto FC,0.5779870285935977,0.5,2011,2011-08-27,NA,NA
Vancouver Whitecaps,0.5076257865544591,1,2011,2011-08-27,NA,0
Seattle Sounders,0.6815973991504631,1,2011,2011-08-27,NA,0
Real Salt Lake,0.44040465377593485,1,2011,2011-08-27,1,NA
Colorado Rapids,0.4899390287063753,0,2011,2011-08-27,0,NA
FC Dallas,0.3764172753492918,1,2011,2011-08-27,1,NA
San Jose Earthquakes,0.42201297140640226,0.5,2011,2011-08-27,NA,NA
Houston Dynamo,0.4923742134455409,0,2011,2011-08-27,0,NA
Columbus Crew,0.31840260084953687,0,2011,2011-08-27,0,NA
Real Salt Lake,0.7092424989165839,1,2011,2011-09-03,NA,0
Philadelphia Union,0.29075750108341614,0,2011,2011-09-03,0,NA
Sporting Kansas City,0.5129265324468976,0.5,2011,2011-09-05,NA,NA
Los Angeles Galaxy,0.48707346755310243,0.5,2011,2011-09-05,NA,NA
Philadelphia Union,0.7483610158721534,0.5,2011,2011-09-07,NA,NA
New England Revolution,0.2516389841278466,0.5,2011,2011-09-07,NA,NA
Los Angeles Galaxy,0.7456037907691613,1,2011,2011-09-09,NA,0
Colorado Rapids,0.2543962092308387,0,2011,2011-09-09,0,NA
Chivas USA,0.6408498980607927,0,2011,2011-09-10,NA,1
San Jose Earthquakes,0.5883416616580904,1,2011,2011-09-10,NA,0
Columbus Crew,0.8098796176132932,0,2011,2011-09-10,NA,1
New England Revolution,0.4173462392111215,1,2011,2011-09-10,1,NA
New York Red Bulls,0.7372574460912019,0.5,2011,2011-09-10,NA,NA
Philadelphia Union,0.6629385557125045,0.5,2011,2011-09-10,NA,NA
Seattle Sounders,0.6861114006244377,0,2011,2011-09-10,NA,1
Sporting Kansas City,0.6923355197901337,1,2011,2011-09-10,NA,0
DC United,0.35915010193920727,1,2011,2011-09-10,1,NA
Chicago Fire,0.41165833834190957,0,2011,2011-09-10,0,NA
Toronto FC,0.1901203823867068,1,2011,2011-09-10,1,NA
FC Dallas,0.5826537607888784,0,2011,2011-09-10,NA,1
Vancouver Whitecaps,0.2627425539087981,0.5,2011,2011-09-10,NA,NA
Portland Timbers,0.3370614442874955,0.5,2011,2011-09-10,NA,NA
Real Salt Lake,0.31388859937556235,1,2011,2011-09-10,1,NA
Houston Dynamo,0.30766448020986625,0,2011,2011-09-10,0,NA
Columbus Crew,0.6868627766460014,0.5,2011,2011-09-14,NA,NA
Houston Dynamo,0.31313722335399863,0.5,2011,2011-09-14,NA,NA
Portland Timbers,0.694715964519774,1,2011,2011-09-16,NA,0
New England Revolution,0.305284035480226,0,2011,2011-09-16,0,NA
Los Angeles Galaxy,0.8519555455540938,1,2011,2011-09-17,NA,0
Real Salt Lake,0.6916857103264293,1,2011,2011-09-17,NA,0
Seattle Sounders,0.7439496600313256,1,2011,2011-09-17,NA,0
FC Dallas,0.7152503221485447,0,2011,2011-09-17,NA,1
Houston Dynamo,0.6746681897461895,1,2011,2011-09-17,NA,0
Philadelphia Union,0.6130499988592271,1,2011,2011-09-17,NA,0
Chicago Fire,0.6592030722756689,1,2011,2011-09-17,NA,0
Toronto FC,0.48627345427875446,1,2011,2011-09-17,1,NA
Vancouver Whitecaps,0.1480444544459062,0,2011,2011-09-17,0,NA
Sporting Kansas City,0.30831428967357066,0,2011,2011-09-17,0,NA
DC United,0.25605033996867443,0,2011,2011-09-17,0,NA
New York Red Bulls,0.28474967785145533,1,2011,2011-09-17,1,NA
San Jose Earthquakes,0.3253318102538105,0,2011,2011-09-17,0,NA
Columbus Crew,0.38695000114077294,0,2011,2011-09-17,0,NA
Chivas USA,0.3407969277243311,0,2011,2011-09-17,0,NA
Colorado Rapids,0.5137265457212455,0,2011,2011-09-17,NA,1
Portland Timbers,0.6974323802519522,0.5,2011,2011-09-21,NA,NA
New York Red Bulls,0.5259633560073511,0,2011,2011-09-21,NA,1
DC United,0.7041821726332929,0.5,2011,2011-09-21,NA,NA
San Jose Earthquakes,0.3025676197480478,0.5,2011,2011-09-21,NA,NA
Real Salt Lake,0.4740366439926489,1,2011,2011-09-21,1,NA
Chivas USA,0.29581782736670714,0.5,2011,2011-09-21,NA,NA
Sporting Kansas City,0.6889553666408892,0.5,2011,2011-09-23,NA,NA
Philadelphia Union,0.3110446333591108,0.5,2011,2011-09-23,NA,NA
Chivas USA,0.656958368316818,1,2011,2011-09-24,NA,0
Vancouver Whitecaps,0.3876247531588519,0,2011,2011-09-24,0,NA
Colorado Rapids,0.7216685892650251,0.5,2011,2011-09-24,NA,NA
Columbus Crew,0.4496659177319641,0,2011,2011-09-24,0,NA
DC United,0.46499804456770655,1,2011,2011-09-24,1,NA
New York Red Bulls,0.6444601605946517,1,2011,2011-09-24,NA,0
FC Dallas,0.6984807906808587,0,2011,2011-09-24,NA,1
Toronto FC,0.343041631683182,0,2011,2011-09-24,0,NA
Seattle Sounders,0.6123752468411481,1,2011,2011-09-24,NA,0
San Jose Earthquakes,0.2783314107349749,0.5,2011,2011-09-24,NA,NA
Los Angeles Galaxy,0.5503340822680358,1,2011,2011-09-24,NA,0
Real Salt Lake,0.5350019554322935,0,2011,2011-09-24,NA,1
Portland Timbers,0.3555398394053483,0,2011,2011-09-24,0,NA
Houston Dynamo,0.30151920931914133,1,2011,2011-09-24,1,NA
Chicago Fire,0.7006441312162622,1,2011,2011-09-25,NA,0
New England Revolution,0.29935586878373777,0,2011,2011-09-25,0,NA
Real Salt Lake,0.7695900665277193,0,2011,2011-09-28,NA,1
Sporting Kansas City,0.6948052592443675,1,2011,2011-09-28,NA,0
Chicago Fire,0.23040993347228067,1,2011,2011-09-28,1,NA
Columbus Crew,0.30519474075563247,0,2011,2011-09-28,0,NA
Philadelphia Union,0.6323100997614386,1,2011,2011-09-29,NA,0
DC United,0.3676899002385614,0,2011,2011-09-29,0,NA
Los Angeles Galaxy,0.7489989064491795,1,2011,2011-10-01,NA,0
San Jose Earthquakes,0.5257373526517285,0.5,2011,2011-10-01,NA,NA
Colorado Rapids,0.631313185727476,1,2011,2011-10-01,NA,0
New England Revolution,0.3661178837212946,0,2011,2011-10-01,0,NA
Toronto FC,0.5208595468451165,0.5,2011,2011-10-01,NA,NA
Houston Dynamo,0.6337645281820324,0.5,2011,2011-10-01,NA,NA
Real Salt Lake,0.25100109355082045,0,2011,2011-10-01,0,NA
Sporting Kansas City,0.4742626473482715,0.5,2011,2011-10-01,NA,NA
FC Dallas,0.36868681427252403,0,2011,2011-10-01,0,NA
Seattle Sounders,0.6338821162787054,1,2011,2011-10-01,NA,0
New York Red Bulls,0.4791404531548835,0.5,2011,2011-10-01,NA,NA
Chicago Fire,0.36623547181796756,0.5,2011,2011-10-01,NA,NA
Chivas USA,0.5687405289546914,0.5,2011,2011-10-02,NA,NA
Vancouver Whitecaps,0.5428832569513873,0,2011,2011-10-02,NA,1
Columbus Crew,0.6156493506941881,1,2011,2011-10-02,NA,0
Philadelphia Union,0.4312594710453086,0.5,2011,2011-10-02,NA,NA
Portland Timbers,0.4571167430486127,1,2011,2011-10-02,1,NA
DC United,0.38435064930581186,0,2011,2011-10-02,0,NA
New York Red Bulls,0.43183132335651286,1,2011,2011-10-04,1,NA
Los Angeles Galaxy,0.5681686766434871,0,2011,2011-10-04,NA,1
Vancouver Whitecaps,0.416913141750617,1,2011,2011-10-06,1,NA
Real Salt Lake,0.583086858249383,0,2011,2011-10-06,NA,1
Seattle Sounders,0.7673471659901532,0,2011,2011-10-08,NA,1
New England Revolution,0.5731182125792671,0,2011,2011-10-08,NA,1
Philadelphia Union,0.23265283400984682,1,2011,2011-10-08,1,NA
San Jose Earthquakes,0.4268817874207329,1,2011,2011-10-08,1,NA
Vancouver Whitecaps,0.5364002018028661,1,2011,2011-10-12,NA,0
Chicago Fire,0.6458570330705782,0,2011,2011-10-12,NA,1
DC United,0.46359979819713393,0,2011,2011-10-12,0,NA
FC Dallas,0.3541429669294218,1,2011,2011-10-12,1,NA
Colorado Rapids,0.6342294221470366,0.5,2011,2011-10-14,NA,NA
Portland Timbers,0.6195189848830569,0,2011,2011-10-14,NA,1
Real Salt Lake,0.3657705778529634,0.5,2011,2011-10-14,NA,NA
Houston Dynamo,0.3804810151169431,1,2011,2011-10-14,1,NA
Seattle Sounders,0.7828074193216337,1,2011,2011-10-15,NA,0
FC Dallas,0.7578009909222915,1,2011,2011-10-15,NA,0
DC United,0.6143293065956049,0,2011,2011-10-15,NA,1
New England Revolution,0.504376839849296,0,2011,2011-10-15,NA,1
Philadelphia Union,0.7834649939528598,0.5,2011,2011-10-15,NA,NA
Sporting Kansas City,0.6601800521819527,1,2011,2011-10-15,NA,0
San Jose Earthquakes,0.21719258067836633,0,2011,2011-10-15,0,NA
Vancouver Whitecaps,0.24219900907770853,0,2011,2011-10-15,0,NA
Chicago Fire,0.3856706934043951,1,2011,2011-10-15,1,NA
Columbus Crew,0.49562316015070396,1,2011,2011-10-15,1,NA
Toronto FC,0.21653500604714015,0.5,2011,2011-10-15,NA,NA
New York Red Bulls,0.33981994781804725,0,2011,2011-10-15,0,NA
Los Angeles Galaxy,0.8281358915457477,1,2011,2011-10-16,NA,0
Chivas USA,0.17186410845425226,0,2011,2011-10-16,0,NA
DC United,0.6392650374403344,0.5,2011,2011-10-19,NA,NA
Portland Timbers,0.36073496255966564,0.5,2011,2011-10-19,NA,NA
New York Red Bulls,0.6105738895315816,1,2011,2011-10-20,NA,0
Philadelphia Union,0.38942611046841835,0,2011,2011-10-20,0,NA
Chivas USA,0.4366532849425003,0,2011,2011-10-22,0,NA
San Jose Earthquakes,0.5446630821461076,1,2011,2011-10-22,NA,0
Real Salt Lake,0.7149954328773028,0.5,2011,2011-10-22,NA,NA
Chicago Fire,0.6417457883808915,1,2011,2011-10-22,NA,0
DC United,0.5133886615799763,0,2011,2011-10-22,NA,1
Vancouver Whitecaps,0.5010331670146219,0,2011,2011-10-22,NA,1
Toronto FC,0.7052850354978379,0.5,2011,2011-10-22,NA,NA
Seattle Sounders,0.5633467150574998,1,2011,2011-10-22,NA,0
FC Dallas,0.4553369178538924,0,2011,2011-10-22,0,NA
Portland Timbers,0.28500456712269717,0.5,2011,2011-10-22,NA,NA
Columbus Crew,0.35825421161910853,0,2011,2011-10-22,0,NA
Sporting Kansas City,0.4866113384200237,1,2011,2011-10-22,1,NA
Colorado Rapids,0.49896683298537814,1,2011,2011-10-22,1,NA
New England Revolution,0.29471496450216206,0.5,2011,2011-10-22,NA,NA
Houston Dynamo,0.48544700588097633,1,2011,2011-10-23,1,NA
Los Angeles Galaxy,0.5145529941190237,0,2011,2011-10-23,NA,1
FC Dallas,0.6346757093402575,0,2011,2011-10-26,NA,1
New York Red Bulls,0.3653242906597425,1,2011,2011-10-26,1,NA
Colorado Rapids,0.6739982127244237,1,2011,2011-10-27,NA,0
Columbus Crew,0.32600178727557627,0,2011,2011-10-27,0,NA
Real Salt Lake,0.5134840258486894,1,2011,2011-10-29,NA,0
Seattle Sounders,0.48651597415131065,0,2011,2011-10-29,0,NA
Colorado Rapids,0.603637387594727,0,2011,2011-10-30,NA,1
Philadelphia Union,0.614507557057582,0,2011,2011-10-30,NA,1
New York Red Bulls,0.5396406702106806,0,2011,2011-10-30,NA,1
Sporting Kansas City,0.39636261240527304,1,2011,2011-10-30,1,NA
Houston Dynamo,0.385492442942418,1,2011,2011-10-30,1,NA
Los Angeles Galaxy,0.46035932978931937,1,2011,2011-10-30,1,NA
Seattle Sounders,0.7030975543311913,1,2011,2011-11-02,NA,0
Sporting Kansas City,0.7272738913114686,1,2011,2011-11-02,NA,0
Real Salt Lake,0.29690244566880875,0,2011,2011-11-02,0,NA
Colorado Rapids,0.2727261086885314,0,2011,2011-11-02,0,NA
Los Angeles Galaxy,0.7579557815209178,1,2011,2011-11-03,NA,0
Houston Dynamo,0.7015704900921556,1,2011,2011-11-03,NA,0
New York Red Bulls,0.2420442184790822,0,2011,2011-11-03,0,NA
Philadelphia Union,0.29842950990784445,0,2011,2011-11-03,0,NA
Los Angeles Galaxy,0.7624268450494602,1,2011,2011-11-06,NA,0
Sporting Kansas City,0.6791536906528013,0,2011,2011-11-06,NA,1
Real Salt Lake,0.23757315495053977,0,2011,2011-11-06,0,NA
Houston Dynamo,0.3208463093471987,1,2011,2011-11-06,1,NA
Los Angeles Galaxy,0.7081908306229954,1,2011,2011-11-20,NA,0
Houston Dynamo,0.29180916937700463,0,2011,2011-11-20,0,NA
Los Angeles Galaxy,0.733635286004694,0,2012,2012-03-10,NA,1
San Jose Earthquakes,0.7178983372974312,1,2012,2012-03-10,NA,0
DC United,0.5381172184632889,0,2012,2012-03-10,NA,1
Colorado Rapids,0.6481992473660234,1,2012,2012-03-10,NA,0
Vancouver Whitecaps,0.5614375565708188,1,2012,2012-03-10,NA,0
Real Salt Lake,0.26636471399530603,1,2012,2012-03-10,1,NA
New England Revolution,0.28210166270256876,0,2012,2012-03-10,0,NA
Sporting Kansas City,0.46188278153671114,1,2012,2012-03-10,1,NA
Columbus Crew,0.3518007526339766,0,2012,2012-03-10,0,NA
Montreal Impact,0.43856244342918116,0,2012,2012-03-10,0,NA
Chivas USA,0.5187853484851275,0,2012,2012-03-11,NA,1
FC Dallas,0.6150574016849929,1,2012,2012-03-11,NA,0
Houston Dynamo,0.4812146515148725,1,2012,2012-03-11,1,NA
New York Red Bulls,0.3849425983150071,0,2012,2012-03-11,0,NA
Portland Timbers,0.6166544047173128,1,2012,2012-03-12,NA,0
Philadelphia Union,0.3833455952826872,0,2012,2012-03-12,0,NA
Chivas USA,0.627918290579202,0,2012,2012-03-17,NA,1
Real Salt Lake,0.6849756307964239,1,2012,2012-03-17,NA,0
Seattle Sounders,0.7709750307277488,1,2012,2012-03-17,NA,0
FC Dallas,0.6505459561168545,0.5,2012,2012-03-17,NA,NA
Sporting Kansas City,0.7955025422070366,1,2012,2012-03-17,NA,0
San Jose Earthquakes,0.5477905468308877,0,2012,2012-03-17,NA,1
Montreal Impact,0.6020630840694196,0.5,2012,2012-03-17,NA,NA
Vancouver Whitecaps,0.372081709420798,1,2012,2012-03-17,1,NA
New York Red Bulls,0.3150243692035761,0,2012,2012-03-17,0,NA
Toronto FC,0.22902496927225124,0,2012,2012-03-17,0,NA
Portland Timbers,0.3494540438831455,0.5,2012,2012-03-17,NA,NA
New England Revolution,0.20449745779296336,0,2012,2012-03-17,0,NA
Houston Dynamo,0.4522094531691123,1,2012,2012-03-17,1,NA
Chicago Fire,0.39793691593058045,0.5,2012,2012-03-17,NA,NA
Los Angeles Galaxy,0.7678044278906171,1,2012,2012-03-18,NA,0
Philadelphia Union,0.6017425169926092,0,2012,2012-03-18,NA,1
DC United,0.2321955721093829,0,2012,2012-03-18,0,NA
Colorado Rapids,0.39825748300739083,1,2012,2012-03-18,1,NA
Seattle Sounders,0.633776944767338,1,2012,2012-03-23,NA,0
Houston Dynamo,0.36622305523266196,0,2012,2012-03-23,0,NA
Vancouver Whitecaps,0.674389501532567,0.5,2012,2012-03-24,NA,NA
Real Salt Lake,0.7771811326743456,0,2012,2012-03-24,NA,1
Chicago Fire,0.6938548074295054,1,2012,2012-03-24,NA,0
Columbus Crew,0.6428191009822902,1,2012,2012-03-24,NA,0
New England Revolution,0.5137135682316528,1,2012,2012-03-24,NA,0
Toronto FC,0.5867659199231562,0,2012,2012-03-24,NA,1
DC United,0.32561049846743295,0.5,2012,2012-03-24,NA,NA
Chivas USA,0.22281886732565437,1,2012,2012-03-24,1,NA
Philadelphia Union,0.30614519257049455,0,2012,2012-03-24,0,NA
Montreal Impact,0.3571808990177098,0,2012,2012-03-24,0,NA
Portland Timbers,0.4862864317683472,0,2012,2012-03-24,0,NA
San Jose Earthquakes,0.4132340800768438,1,2012,2012-03-24,1,NA
Sporting Kansas City,0.7175472106233379,1,2012,2012-03-25,NA,0
New York Red Bulls,0.5913086022849325,1,2012,2012-03-25,NA,0
FC Dallas,0.2824527893766621,0,2012,2012-03-25,0,NA
Colorado Rapids,0.40869139771506746,0,2012,2012-03-25,0,NA
DC United,0.5808622445269995,1,2012,2012-03-30,NA,0
FC Dallas,0.4191377554730005,0,2012,2012-03-30,0,NA
Los Angeles Galaxy,0.8080728266562157,0,2012,2012-03-31,NA,1
Portland Timbers,0.5802520795268855,0,2012,2012-03-31,NA,1
Seattle Sounders,0.7345328238067065,0,2012,2012-03-31,NA,1
New York Red Bulls,0.693941575699985,1,2012,2012-03-31,NA,0
Philadelphia Union,0.634296477788948,0.5,2012,2012-03-31,NA,NA
Toronto FC,0.5304279753134068,0,2012,2012-03-31,NA,1
New England Revolution,0.19192717334378429,1,2012,2012-03-31,1,NA
Real Salt Lake,0.4197479204731145,1,2012,2012-03-31,1,NA
San Jose Earthquakes,0.2654671761932935,1,2012,2012-03-31,1,NA
Montreal Impact,0.30605842430001495,0,2012,2012-03-31,0,NA
Vancouver Whitecaps,0.36570352221105196,0.5,2012,2012-03-31,NA,NA
Columbus Crew,0.4695720246865932,1,2012,2012-03-31,1,NA
Chivas USA,0.47538911427499103,0,2012,2012-04-01,0,NA
Colorado Rapids,0.6274205718759153,1,2012,2012-04-01,NA,0
Sporting Kansas City,0.5246108857250089,1,2012,2012-04-01,NA,0
Chicago Fire,0.37257942812408473,0,2012,2012-04-01,0,NA
Real Salt Lake,0.749931117560942,1,2012,2012-04-04,NA,0
