season,date,home_team,home_final,away_final,away_team,penalties
1998,1998-08-29,Miami,3,2,New England Revolution,0
1998,1998-09-01,Chicago Fire,3,2,Miami,0
1998,1998-09-01,Colorado Rapids,3,2,Sporting Kansas City,0
1998,1998-09-01,Los Angeles Galaxy,3,0,FC Dallas,0
1998,1998-09-01,New York Red Bulls,0,2,New England Revolution,0
1998,1998-09-02,Mutiny,2,1,Houston Dynamo,0
1998,1998-09-04,Miami,3,5,Los Angeles Galaxy,0
1998,1998-09-04,Sporting Kansas City,5,1,Houston Dynamo,0
1998,1998-09-05,Columbus Crew,4,3,New York Red Bulls,0
1998,1998-09-08,Columbus Crew,1,0,Miami,0
1998,1998-09-09,FC Dallas,3,2,Chicago Fire,0
1998,1998-09-11,New England Revolution,2,0,Columbus Crew,0
1998,1998-09-12,Chicago Fire,3,1,Colorado Rapids,0
1998,1998-09-12,FC Dallas,1,3,Houston Dynamo,0
1998,1998-09-12,Miami,4,3,DC United,0
1998,1998-09-12,Mutiny,2,1,New York Red Bulls,0
1998,1998-09-15,Columbus Crew,2,4,Colorado Rapids,0
1998,1998-09-15,Houston Dynamo,0,1,Los Angeles Galaxy,1
1998,1998-09-15,New York Red Bulls,0,5,DC United,0
1998,1998-09-16,Chicago Fire,1,0,Sporting Kansas City,0
1998,1998-09-18,Colorado Rapids,2,1,Columbus Crew,0
1998,1998-09-18,DC United,1,3,Miami,0
1998,1998-09-18,New England Revolution,3,0,Mutiny,0
1998,1998-09-18,Sporting Kansas City,0,1,FC Dallas,0
1998,1998-09-19,Los Angeles Galaxy,0,1,Houston Dynamo,0
1998,1998-09-22,Chicago Fire,3,2,New England Revolution,0
1998,1998-09-23,Columbus Crew,3,4,Mutiny,0
1998,1998-09-25,Colorado Rapids,3,1,FC Dallas,0
1998,1998-09-25,New England Revolution,0,1,New York Red Bulls,1
1998,1998-09-26,DC United,3,2,Columbus Crew,1
1998,1998-09-26,Houston Dynamo,2,0,Sporting Kansas City,0
1998,1998-09-26,Los Angeles Galaxy,1,0,Chicago Fire,0
1998,1998-09-26,Miami,1,3,Mutiny,0
1998,1998-09-29,Columbus Crew,5,3,New York Red Bulls,0
1998,1998-09-29,DC United,2,1,Miami,0
1998,1998-09-30,Chicago Fire,2,1,Colorado Rapids,1
1998,1998-09-30,Los Angeles Galaxy,6,1,FC Dallas,0
1998,1998-10-02,New York Red Bulls,1,2,Columbus Crew,1
1998,1998-10-03,FC Dallas,2,3,Los Angeles Galaxy,0
1998,1998-10-03,Miami,0,1,DC United,1
1998,1998-10-04,Colorado Rapids,0,1,Chicago Fire,0
1998,1998-10-09,Los Angeles Galaxy,0,1,Chicago Fire,0
1998,1998-10-10,DC United,2,0,Columbus Crew,0
1998,1998-10-15,Chicago Fire,2,1,Los Angeles Galaxy,1
1998,1998-10-17,Columbus Crew,4,2,DC United,0
1998,1998-10-20,DC United,3,0,Columbus Crew,0
1998,1998-10-24,Chicago Fire,2,0,DC United,0
1999,1999-03-19,FC Dallas,4,0,Sporting Kansas City,0
1999,1999-03-19,Houston Dynamo,1,3,Chicago Fire,0
1999,1999-03-19,Los Angeles Galaxy,2,1,Colorado Rapids,1
1999,1999-03-19,Miami,2,3,New York Red Bulls,1
1999,1999-03-19,Mutiny,2,5,DC United,0
1999,1999-03-26,Houston Dynamo,3,2,Colorado Rapids,1
1999,1999-03-26,Sporting Kansas City,0,3,Chicago Fire,0
1999,1999-03-27,Los Angeles Galaxy,1,0,FC Dallas,1
1999,1999-03-27,Miami,2,1,New England Revolution,1
1999,1999-03-27,New York Red Bulls,1,0,Columbus Crew,0
1999,1999-04-02,Houston Dynamo,2,1,Los Angeles Galaxy,1
1999,1999-04-02,Miami,1,4,Chicago Fire,0
1999,1999-04-02,Mutiny,2,3,Columbus Crew,0
1999,1999-04-02,New York Red Bulls,0,1,DC United,0
1999,1999-04-02,Sporting Kansas City,0,1,New England Revolution,0
1999,1999-04-07,Los Angeles Galaxy,1,2,Columbus Crew,1
1999,1999-04-09,Chicago Fire,0,1,FC Dallas,1
1999,1999-04-09,Colorado Rapids,4,1,Miami,0
1999,1999-04-09,New England Revolution,2,3,DC United,1
1999,1999-04-09,Sporting Kansas City,1,2,Houston Dynamo,1
1999,1999-04-10,Mutiny,1,2,New York Red Bulls,1
1999,1999-04-14,Miami,2,1,FC Dallas,1
1999,1999-04-16,Chicago Fire,1,0,Los Angeles Galaxy,0
1999,1999-04-16,Colorado Rapids,2,1,Sporting Kansas City,1
1999,1999-04-16,DC United,1,2,Houston Dynamo,1
1999,1999-04-16,New England Revolution,0,1,Columbus Crew,1
