k_value,home_bonus,carry_value,auc
10,30,0.1,0.5734679438107229
12,30,0.1,0.5792892722851726
14,30,0.1,0.5835653112827748
16,30,0.1,0.5867892775573987
18,30,0.1,0.5890033489180337
20,30,0.1,0.5908433558351944
22,30,0.1,0.5921118534405493
24,30,0.1,0.59298071630573
26,30,0.1,0.5936603062530711
28,30,0.1,0.5941756663566597
30,30,0.1,0.5944147618113682
32,30,0.1,0.5946195877962728
34,30,0.1,0.594644367259054
36,30,0.1,0.5946111522344749
38,30,0.1,0.5945122979946561
40,30,0.1,0.5943952545747107
42,30,0.1,0.5941268982650159
44,30,0.1,0.5938155733124132
46,30,0.1,0.5935809592499098
48,30,0.1,0.5932403734423208
50,30,0.1,0.5928475925961074
10,40,0.1,0.573482442432563
12,40,0.1,0.5793222236984455
14,40,0.1,0.5836544119042648
16,40,0.1,0.5868799598467258
18,40,0.1,0.5891156473344679
20,40,0.1,0.590969098428244
22,40,0.1,0.5922676477225037
24,40,0.1,0.5931481094851566
26,40,0.1,0.593805292471472
28,40,0.1,0.594345432037842
30,40,0.1,0.5946338228068067
32,40,0.1,0.5948286315620762
34,40,0.1,0.5948787177102511
36,40,0.1,0.5948607921414306
38,40,0.1,0.5948064882123568
40,40,0.1,0.594647266983422
42,40,0.1,0.5943928820729549
44,40,0.1,0.5940770757281472
46,40,0.1,0.5938643414040571
48,40,0.1,0.5935219103173247
50,40,0.1,0.593166035053977
10,50,0.1,0.5734845513230125
12,50,0.1,0.5793564931682494
14,50,0.1,0.5837646014302496
16,50,0.1,0.5869268826592265
18,50,0.1,0.5892550977154389
20,50,0.1,0.5910871962934141
22,50,0.1,0.5923954992060028
24,50,0.1,0.5933373824029963
26,50,0.1,0.5940114365129074
28,50,0.1,0.594539449959193
30,50,0.1,0.5948162418306856
32,50,0.1,0.5950302942113066
34,50,0.1,0.5950893431438917
36,50,0.1,0.5950774806351135
38,50,0.1,0.5950389933844107
40,50,0.1,0.5948723910389027
42,50,0.1,0.5946807456193073
44,50,0.1,0.5943623031614377
46,50,0.1,0.5941255802084849
48,50,0.1,0.5937952752418371
50,50,0.1,0.5934256921905677
10,60,0.1,0.5734476457401467
12,60,0.1,0.5793520117760442
